keyword,그룹축,adgroup_name,keyword_id,status,bid,권고,축구분
E편한세상신정스카이하임입주,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646684,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임입주,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821370,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임입주일,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646689,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임입주일,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821375,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임평면도,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646687,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임평면도,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821373,ELIGIBLE,110,생존(부울경 우선),지시서 축
E편한세상신정스카이하임프리미엄,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646688,PAUSED,80,OFF 권고(전국측),지시서 축
E편한세상신정스카이하임프리미엄,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821374,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646610,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821322,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC분양권,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646611,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC분양권,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821323,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC시세,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646613,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC시세,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821325,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC실거래가,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646614,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC실거래가,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821326,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC입주,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646612,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC입주,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821324,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC입주일,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646617,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC입주일,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821329,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC평면도,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646615,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC평면도,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821327,ELIGIBLE,110,생존(부울경 우선),지시서 축
옥동경남아너스빌UBC프리미엄,B_입주예정 ↔ 부울경_D_입주예정,B_입주예정,nkw-a001-01-000008540646616,PAUSED,80,OFF 권고(전국측),지시서 축
옥동경남아너스빌UBC프리미엄,B_입주예정 ↔ 부울경_D_입주예정,부울경_D_입주예정,nkw-a001-01-000008542821328,ELIGIBLE,110,생존(부울경 우선),지시서 축
울산남구분양,A_분양 ↔ E_대표,A_분양,nkw-a001-01-000008569784243,ELIGIBLE,100,판정 필요,⚠️ 축 밖 — 예외 표기
울산남구분양,A_분양 ↔ E_대표,E_대표,nkw-a001-01-000008541751751,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산분양예정아파트,A_분양 ↔ E_대표,A_분양,nkw-a001-01-000008569784253,ELIGIBLE,100,판정 필요,⚠️ 축 밖 — 예외 표기
울산분양예정아파트,A_분양 ↔ E_대표,E_대표,nkw-a001-01-000008541751657,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
일광더에스,A_분양 ↔ 부울경_B_분양예정,A_분양,nkw-a001-01-000008560917260,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
일광더에스,A_분양 ↔ 부울경_B_분양예정,부울경_B_분양예정,nkw-a001-01-000008560733652,PAUSED,140,판정 필요,⚠️ 축 밖 — 예외 표기
대연디아이엘,B_입주예정 ↔ 카더라,B_입주예정,nkw-a001-01-000008540645685,ELIGIBLE,80,판정 필요,⚠️ 축 밖 — 예외 표기
대연디아이엘,B_입주예정 ↔ 카더라,카더라,nkw-a001-01-000008534454701,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
번영로하늘채라크뷰,B_입주예정 ↔ 카더라,B_입주예정,nkw-a001-01-000008540646666,ELIGIBLE,80,판정 필요,⚠️ 축 밖 — 예외 표기
번영로하늘채라크뷰,B_입주예정 ↔ 카더라,카더라,nkw-a001-01-000008534454710,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
대연푸르지오클라센트,D_기축 ↔ 카더라,D_기축,nkw-a001-01-000008540644519,ELIGIBLE,80,판정 필요,⚠️ 축 밖 — 예외 표기
대연푸르지오클라센트,D_기축 ↔ 카더라,카더라,nkw-a001-01-000008534454706,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
더샵신문그리니티,D_기축 ↔ 카더라,D_기축,nkw-a001-01-000008540644863,ELIGIBLE,80,판정 필요,⚠️ 축 밖 — 예외 표기
더샵신문그리니티,D_기축 ↔ 카더라,카더라,nkw-a001-01-000008534454720,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
경남미분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751684,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
경남미분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454696,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
경남청약,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751680,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
경남청약,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454712,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산미분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751640,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산미분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454677,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산미분양아파트,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751641,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산미분양아파트,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454656,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751629,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454730,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산아파트분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751631,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산아파트분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454728,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산청약,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751636,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
부산청약,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454698,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산미분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751662,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산미분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454687,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751651,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454670,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산아파트분양,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751653,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산아파트분양,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454668,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산청약,E_대표 ↔ 카더라,E_대표,nkw-a001-01-000008541751658,ELIGIBLE,70,판정 필요,⚠️ 축 밖 — 예외 표기
울산청약,E_대표 ↔ 카더라,카더라,nkw-a001-01-000008534454708,PAUSED,70,판정 필요,⚠️ 축 밖 — 예외 표기
